,name,price,origin,year,date,mileage,energy,gearbox,color,ratedHorsePower,powerDIN,consumption,brand,model
586,278,25400.0,0,2023.0,186,12400,4,1,49,5,101,5.1,28,8
587,368,22840.0,0,2023.0,430,6412,4,1,102,5,95,5.3,31,77
590,282,46780.0,0,2023.0,327,12,4,0,64,7,130,6.4,28,14
591,78,32460.0,0,2020.0,97,60192,4,0,102,7,140,5.4,4,412
593,353,19320.0,0,2020.0,126,71463,3,0,102,6,116,4.1,30,257
596,57,45410.0,0,2024.0,771,5175,4,0,102,9,178,6.0,4,346
597,245,31730.0,0,2019.0,7,79638,4,0,102,13,231,5.7,24,230
598,311,171930.0,1,2018.0,796,43290,4,0,53,35,450,9.7,29,40
599,113,38380.0,0,2023.0,857,23784,3,0,102,7,131,5.2,6,109
600,318,164190.0,0,2020.0,532,27560,4,0,102,27,385,9.2,29,47
602,14,30020.0,0,2020.0,497,89242,3,0,102,7,150,4.4,2,63
603,158,17080.0,0,2019.0,177,96398,3,0,102,6,120,3.6,12,187
605,86,74400.0,1,2017.0,483,155620,4,0,102,49,575,11.1,4,420
606,338,16780.0,0,2020.0,424,96824,4,1,69,7,131,5.6,30,117
609,6,23500.0,0,2023.0,443,33880,4,1,49,5,95,5.6,2,54
610,278,20890.0,0,2021.0,404,51768,4,1,102,5,101,4.2,28,8
611,278,23300.0,0,2023.0,123,19864,3,1,102,5,102,4.0,28,8
612,430,45860.0,0,2021.0,74,54001,3,0,47,10,190,6.4,37,424
613,56,21090.0,0,2020.0,930,87771,3,1,69,5,95,4.2,4,345
616,209,19850.0,0,2019.0,516,65512,4,1,102,6,122,4.3,22,126
618,41,120840.0,0,2021.0,752,28672,4,0,102,34,450,9.6,2,327
622,281,24180.0,0,2018.0,479,55990,3,1,102,6,120,3.5,28,13
623,218,45510.0,0,2020.0,368,68445,3,0,102,10,195,4.4,22,135
626,406,21230.0,0,2020.0,212,112163,3,1,102,6,116,4.1,36,208
628,338,13680.0,0,2020.0,611,83437,3,1,102,5,90,4.2,30,117
631,115,15460.0,0,2012.0,360,69812,3,0,102,6,112,4.8,6,212
632,143,6400.0,0,2006.0,243,110055,4,1,102,4,60,4.8,11,281
634,103,16290.0,0,2023.0,551,10721,4,1,4,4,83,5.3,6,99
638,260,18710.0,0,2022.0,367,35698,4,1,75,5,101,5.2,27,150
641,300,36540.0,0,2022.0,172,10185,3,1,49,7,140,8.8,28,88
643,142,30460.0,0,2019.0,519,81995,3,1,102,8,177,5.8,11,164
644,341,17220.0,0,2020.0,592,144272,3,1,36,5,116,3.6,30,145
645,231,61760.0,0,2017.0,820,71043,4,0,102,29,390,10.5,22,199
646,112,31440.0,0,2020.0,934,76245,3,0,86,6,131,4.1,6,108
647,312,179780.0,0,2017.0,910,37200,4,0,88,39,476,12.4,29,41
649,267,29950.0,0,2023.0,935,11,4,1,102,7,130,5.5,27,267
650,17,53090.0,0,2023.0,693,13006,4,0,14,8,150,6.1,2,66
651,378,16080.0,0,2022.0,122,12840,4,1,102,3,60,5.6,32,178
652,289,34510.0,0,2023.0,430,31375,4,0,66,7,131,5.7,28,21
653,413,23620.0,0,2023.0,815,16060,4,1,102,6,110,5.8,36,377
654,151,17110.0,0,2015.0,725,123900,4,1,102,10,182,4.8,12,180
657,112,29360.0,0,2021.0,574,100474,3,1,64,6,131,4.1,6,108
658,424,25620.0,0,2018.0,345,140985,4,0,102,8,150,4.8,36,394
659,27,44340.0,0,2023.0,305,17391,3,0,102,8,150,5.0,2,293
661,227,32110.0,0,2020.0,17,79646,3,0,102,7,136,5.2,22,194
662,23,47440.0,0,2022.0,914,42770,3,0,86,9,163,5.7,2,72
663,223,37180.0,0,2017.0,103,51088,3,0,64,7,150,3.9,22,140
668,400,16490.0,0,2013.0,628,66000,4,0,72,7,122,6.0,36,202
669,26,34140.0,0,2020.0,460,70335,4,0,5,8,150,5.3,2,292
670,305,16780.0,0,2011.0,238,78747,4,1,78,9,156,5.2,28,307
673,57,36880.0,1,2021.0,569,65015,4,0,88,7,140,6.4,4,346
674,144,43300.0,0,2019.0,809,61738,3,1,86,8,145,5.9,11,382
675,144,25390.0,0,2019.0,325,91960,3,1,102,5,146,5.6,11,382
676,202,13910.0,0,2008.0,891,116000,4,1,60,8,126,7.3,21,271
677,256,20930.0,0,2019.0,216,41244,4,1,102,6,116,5.1,26,303
678,287,14110.0,0,2016.0,897,126853,3,0,102,7,150,3.6,28,19
679,103,15430.0,0,2023.0,636,10156,4,1,4,4,83,5.3,6,99
680,257,20430.0,0,2018.0,653,139883,3,1,72,7,131,4.6,26,410
681,13,28270.0,0,2018.0,466,124845,4,0,102,8,150,5.6,2,62
682,276,13300.0,0,2019.0,342,15002,4,1,49,4,83,4.7,28,6
683,247,17060.0,1,2019.0,79,81918,3,1,88,5,95,3.8,24,265
684,360,13360.0,0,2016.0,361,115815,3,0,102,6,110,4.3,30,342
686,97,14410.0,0,2022.0,276,3606,4,1,102,4,72,4.8,6,93
688,347,11390.0,0,2019.0,680,99986,3,1,49,5,90,4.2,30,239
690,233,24260.0,0,1996.0,583,105530,4,0,64,18,231,9.2,22,367
691,97,10900.0,0,2019.0,66,12498,4,1,102,4,69,3.6,6,93
694,180,107120.0,0,2020.0,460,41576,4,0,72,70,707,17.2,15,214
697,311,193620.0,1,2018.0,667,48750,4,0,53,35,450,9.7,29,40
699,342,11880.0,0,2022.0,665,84613,3,1,102,4,86,4.1,30,146
701,31,18440.0,0,2016.0,643,154497,3,1,102,8,150,3.9,2,297
702,294,26700.0,0,2018.0,378,134942,3,0,72,10,181,4.4,28,30
703,107,36880.0,0,2022.0,832,6970,3,0,64,7,131,4.6,6,103
705,397,23360.0,0,2019.0,40,102372,4,1,50,6,105,5.5,36,147
706,301,27820.0,0,2018.0,73,101839,3,0,102,5,95,5.3,28,172
708,341,13100.0,0,2021.0,288,69006,4,1,102,5,101,5.2,30,145
709,402,11480.0,0,2016.0,150,209875,3,0,102,5,110,3.6,36,204
712,337,26620.0,0,2021.0,803,15750,4,0,102,7,131,6.4,30,116
716,287,20400.0,0,2019.0,785,114267,3,1,102,6,131,3.7,28,19
717,278,23980.0,0,2022.0,48,16465,4,1,102,5,101,5.3,28,8
718,413,26370.0,0,2023.0,939,15950,4,1,102,6,110,5.8,36,377
